Area Name,Last residence,Total migrants Persons,Total migrants Males,Total migrantsFemales,Work/employment Persons,Work/employment Males,Work/employment Females,Business Persons,Business Males,Business Females,Education Persons,Education Males,Education Females,Marriage Persons,Marriage Males,Marriage Females,Moved after birth Persons,Moved after birth Males,Moved after birth Females,Moved with householdPersons,Moved with household Males,Moved with household Females,Others Persons,Others Males,Others Females
andaman & nicobar islands,jammu & kashmir,146,63,83,6,6,0,0,0,0,1,0,1,7,0,7,1,0,1,121,48,73,10,9,1
andaman & nicobar islands,himachal pradesh,158,60,98,10,9,1,0,0,0,0,0,0,3,0,3,4,3,1,139,46,93,2,2,0
andaman & nicobar islands,punjab,630,336,294,89,83,6,14,12,2,2,2,0,68,5,63,7,7,0,360,159,201,90,68,22
andaman & nicobar islands,chandigargh,92,43,49,9,9,0,1,1,0,1,1,0,3,0,3,1,0,1,74,29,45,3,3,0
andaman & nicobar islands,uttranchal,314,160,154,63,57,6,8,8,0,1,0,1,37,0,37,0,0,0,146,58,88,59,37,22
andaman & nicobar islands,haryana,221,105,116,40,39,1,10,10,0,0,0,0,15,0,15,8,5,3,131,39,92,17,12,5
andaman & nicobar islands,nct of delhi,449,201,248,98,85,13,8,7,1,6,4,2,20,0,20,7,3,4,295,92,203,15,10,5
andaman & nicobar islands,rajasthan,308,160,148,77,71,6,16,16,0,7,3,4,33,1,32,10,4,6,137,48,89,28,17,11
andaman & nicobar islands,uttar pradesh,2434,1301,1133,698,674,24,114,108,6,32,27,5,474,3,471,37,23,14,765,261,504,314,205,109
andaman & nicobar islands,bihar,1299,759,540,458,446,12,57,55,2,7,6,1,198,1,197,22,14,8,418,141,277,139,96,43
andaman & nicobar islands,sikkim,25,12,13,5,5,0,0,0,0,0,0,0,3,0,3,1,1,0,12,3,9,4,3,1
andaman & nicobar islands,arunachal pradesh,16,8,8,4,4,0,0,0,0,1,1,0,2,0,2,1,0,1,7,2,5,1,1,0
andaman & nicobar islands,nagaland,15,9,6,5,4,1,0,0,0,2,2,0,0,0,0,0,0,0,7,2,5,1,1,0
andaman & nicobar islands,manipur,21,11,10,3,3,0,1,1,0,0,0,0,2,0,2,0,0,0,9,4,5,6,3,3
andaman & nicobar islands,mizoram,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andaman & nicobar islands,tripura,41,18,23,7,7,0,0,0,0,1,1,0,7,0,7,0,0,0,19,8,11,7,2,5
andaman & nicobar islands,meghalaya,24,13,11,8,8,0,1,0,1,0,0,0,3,0,3,0,0,0,11,4,7,1,1,0
andaman & nicobar islands,assam,406,237,169,139,124,15,10,10,0,1,1,0,54,0,54,4,3,1,140,57,83,58,42,16
andaman & nicobar islands,west bengal,18461,11831,6630,6653,6437,216,743,728,15,70,57,13,1877,18,1859,209,113,96,5998,2397,3601,2911,2081,830
andaman & nicobar islands,jharkhand,9441,5362,4079,3982,3864,118,16,13,3,61,48,13,2081,14,2067,51,28,23,2103,628,1475,1147,767,380
andaman & nicobar islands,odisha,1297,855,442,580,566,14,11,8,3,5,4,1,110,1,109,7,3,4,437,164,273,147,109,38
andaman & nicobar islands,chhattisgarh,3121,1776,1345,1079,1050,29,6,6,0,13,11,2,530,4,526,23,14,9,958,339,619,512,352,160
andaman & nicobar islands,madhya pradesh,313,177,136,99,96,3,6,5,1,5,5,0,40,1,39,3,1,2,119,46,73,41,23,18
andaman & nicobar islands,gujarat,280,126,154,25,23,2,5,5,0,0,0,0,18,0,18,6,3,3,207,80,127,19,15,4
andaman & nicobar islands,daman & diu,20,9,11,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,16,6,10,0,0,0
andaman & nicobar islands,dadra & nagar haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andaman & nicobar islands,maharashtra,1436,598,838,166,155,11,15,13,2,6,4,2,40,2,38,14,11,3,1110,359,751,85,54,31
andaman & nicobar islands,andhra pradesh,14984,7985,6999,5553,5431,122,121,114,7,62,51,11,3314,21,3293,196,123,73,4071,1225,2846,1667,1020,647
andaman & nicobar islands,karnataka,492,243,249,120,103,17,10,9,1,9,3,6,47,2,45,15,8,7,243,90,153,48,28,20
andaman & nicobar islands,goa,269,105,164,23,17,6,0,0,0,1,0,1,2,1,1,0,0,0,238,83,155,5,4,1
andaman & nicobar islands,lakshadweep,28,22,6,17,16,1,1,1,0,2,2,0,0,0,0,0,0,0,8,3,5,0,0,0
andaman & nicobar islands,kerala,6203,3232,2971,2139,2018,121,208,201,7,29,11,18,1280,12,1268,156,77,79,1702,523,1179,689,390,299
andaman & nicobar islands,tamil nadu,21338,12135,9203,8494,8221,273,915,884,31,84,60,24,4921,74,4847,310,177,133,4263,1254,3009,2351,1465,886
andaman & nicobar islands,puducherry,93,51,42,37,35,2,2,2,0,1,0,1,11,0,11,2,1,1,32,9,23,8,4,4
andaman & nicobar islands,andaman & nicobar islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andhra pradesh,jammu & kashmir,2232,1315,917,610,568,42,72,63,9,41,28,13,99,3,96,50,19,31,789,278,511,571,356,215
andhra pradesh,himachal pradesh,1096,590,506,277,261,16,21,15,6,30,12,18,80,0,80,24,16,8,342,103,239,322,183,139
andhra pradesh,punjab,7006,3982,3024,1341,1223,118,348,298,50,105,62,43,513,14,499,202,112,90,2220,824,1396,2277,1449,828
andhra pradesh,chandigargh,995,501,494,215,189,26,27,25,2,17,12,5,126,6,120,47,30,17,345,122,223,218,117,101
andhra pradesh,uttranchal,1464,847,617,398,373,25,23,20,3,18,13,5,113,4,109,28,18,10,451,148,303,433,271,162
andhra pradesh,haryana,4914,2734,2180,1044,974,70,315,284,31,66,47,19,515,15,500,177,106,71,1576,604,972,1221,704,517
