Source,Target,Weight
west bengal,andaman & nicobar islands,20998
tamil nadu,andaman & nicobar islands,18136
andhra pradesh,andaman & nicobar islands,15681
jharkhand,andaman & nicobar islands,7612
kerala,andaman & nicobar islands,4829
uttar pradesh,andaman & nicobar islands,3114
chhattisgarh,andaman & nicobar islands,2600
bihar,andaman & nicobar islands,1779
odisha,andaman & nicobar islands,1244
maharashtra,andaman & nicobar islands,1052
karnataka,andhra pradesh,466951
tamil nadu,andhra pradesh,266720
maharashtra,andhra pradesh,263216
odisha,andhra pradesh,185872
rajasthan,andhra pradesh,72554
west bengal,andhra pradesh,50218
uttar pradesh,andhra pradesh,49889
bihar,andhra pradesh,48120
kerala,andhra pradesh,40113
chhattisgarh,andhra pradesh,28383
assam,arunachal pradesh,88963
bihar,arunachal pradesh,18811
west bengal,arunachal pradesh,6966
uttar pradesh,arunachal pradesh,6054
odisha,arunachal pradesh,1613
rajasthan,arunachal pradesh,1498
manipur,arunachal pradesh,1465
kerala,arunachal pradesh,1397
jharkhand,arunachal pradesh,1308
nagaland,arunachal pradesh,1218
bihar,assam,147742
west bengal,assam,94724
meghalaya,assam,40755
tripura,assam,39906
uttar pradesh,assam,35441
rajasthan,assam,27778
nagaland,assam,23707
arunachal pradesh,assam,19486
manipur,assam,12203
jharkhand,assam,11139
jharkhand,bihar,433696
uttar pradesh,bihar,319887
west bengal,bihar,227809
nct of delhi,bihar,23412
jammu & kashmir,bihar,15594
assam,bihar,15221
maharashtra,bihar,13544
himachal pradesh,bihar,8883
rajasthan,bihar,8358
punjab,bihar,7994
uttar pradesh,chandigarh,179574
punjab,chandigarh,148481
haryana,chandigarh,93037
himachal pradesh,chandigarh,60254
bihar,chandigarh,50703
uttarakhand,chandigarh,31164
nct of delhi,chandigarh,20889
rajasthan,chandigarh,9446
west bengal,chandigarh,6951
jammu & kashmir,chandigarh,5997
madhya pradesh,chhattisgarh,276527
odisha,chhattisgarh,242404
uttar pradesh,chhattisgarh,168385
bihar,chhattisgarh,143216
maharashtra,chhattisgarh,117487
jharkhand,chhattisgarh,111325
west bengal,chhattisgarh,53766
andhra pradesh,chhattisgarh,42362
rajasthan,chhattisgarh,21188
punjab,chhattisgarh,17217
gujarat,dadra & nagar haveli,30177
uttar pradesh,dadra & nagar haveli,28719
maharashtra,dadra & nagar haveli,25860
bihar,dadra & nagar haveli,20848
rajasthan,dadra & nagar haveli,6830
madhya pradesh,dadra & nagar haveli,4707
odisha,dadra & nagar haveli,4339
west bengal,dadra & nagar haveli,2962
jharkhand,dadra & nagar haveli,2205
assam,dadra & nagar haveli,1484
bihar,daman & diu,28202
uttar pradesh,daman & diu,27657
gujarat,daman & diu,23072
maharashtra,daman & diu,14738
madhya pradesh,daman & diu,7579
west bengal,daman & diu,4872
odisha,daman & diu,4590
rajasthan,daman & diu,4584
jharkhand,daman & diu,3386
assam,daman & diu,1622
karnataka,goa,116865
maharashtra,goa,71943
uttar pradesh,goa,20136
bihar,goa,8334
kerala,goa,8218
andhra pradesh,goa,5652
west bengal,goa,5342
rajasthan,goa,4830
odisha,goa,4389
tamil nadu,goa,4239
maharashtra,gujarat,971975
uttar pradesh,gujarat,929411
rajasthan,gujarat,747445
bihar,gujarat,361010
madhya pradesh,gujarat,274773
